Temperature,Density,Viscosity,Thermal_Conductivity,Electrical_Conductivity,Specific_Heat_CP,Specific_Heat_CV,R_Gas_Constant
0,999.84,0.001792,0.561,2.92,4217,4212,0
10,999.7,0.001308,0.58,3.8,4192,4188,0
20,998.21,0.001002,0.598,4.72,4182,4157,0
30,995.65,0.000798,0.615,5.7,4178,4140,0
40,992.22,0.000653,0.631,6.72,4179,4125,0
50,988.04,0.000549,0.644,7.79,4181,4112,0
60,983.21,0.000467,0.654,8.89,4184,4100,0
70,977.78,0.000404,0.663,10.02,4190,4091,0
80,971.8,0.000355,0.67,11.18,4196,4084,0
90,965.31,0.000317,0.674,12.36,4205,4080,0
100,958.35,0.000284,0.677,13.56,4216,4078,0
